"","SITE","SEASON","SAMPLING_PERIOD","SP","CAPTURES"
"1183",7,"Summer",1,"Anoura_geoffroyi",NA
"1197",7,"Summer",2,"Anoura_geoffroyi",NA
"1211",7,"Summer",3,"Anoura_geoffroyi",NA
"1184",8,"Summer",1,"Anoura_geoffroyi",NA
"1198",8,"Summer",2,"Anoura_geoffroyi",NA
"1212",8,"Summer",3,"Anoura_geoffroyi",NA
"1185",9,"Summer",1,"Anoura_geoffroyi",NA
"1199",9,"Summer",2,"Anoura_geoffroyi",NA
"1213",9,"Summer",3,"Anoura_geoffroyi",NA
"1186",10,"Summer",1,"Anoura_geoffroyi",NA
"1200",10,"Summer",2,"Anoura_geoffroyi",NA
"1214",10,"Summer",3,"Anoura_geoffroyi",NA
"1187",11,"Summer",1,"Anoura_geoffroyi",NA
"1201",11,"Summer",2,"Anoura_geoffroyi",NA
"1215",11,"Summer",3,"Anoura_geoffroyi",NA
"1188",12,"Summer",1,"Anoura_geoffroyi",NA
"1202",12,"Summer",2,"Anoura_geoffroyi",NA
"1216",12,"Summer",3,"Anoura_geoffroyi",NA
"1189",13,"Summer",1,"Anoura_geoffroyi",NA
"1203",13,"Summer",2,"Anoura_geoffroyi",NA
"1217",13,"Summer",3,"Anoura_geoffroyi",NA
"1190",14,"Summer",1,"Anoura_geoffroyi",NA
"1204",14,"Summer",2,"Anoura_geoffroyi",NA
"1218",14,"Summer",3,"Anoura_geoffroyi",NA
"43",1,"Winter",1,"Anoura_geoffroyi",NA
"57",1,"Winter",2,"Anoura_geoffroyi",NA
"71",1,"Winter",3,"Anoura_geoffroyi",NA
"44",2,"Winter",1,"Anoura_geoffroyi",NA
"58",2,"Winter",2,"Anoura_geoffroyi",NA
"72",2,"Winter",3,"Anoura_geoffroyi",NA
"45",3,"Winter",1,"Anoura_geoffroyi",NA
"59",3,"Winter",2,"Anoura_geoffroyi",NA
"73",3,"Winter",3,"Anoura_geoffroyi",NA
"46",4,"Winter",1,"Anoura_geoffroyi",NA
"60",4,"Winter",2,"Anoura_geoffroyi",NA
"74",4,"Winter",3,"Anoura_geoffroyi",NA
"47",5,"Winter",1,"Anoura_geoffroyi",NA
"61",5,"Winter",2,"Anoura_geoffroyi",NA
"75",5,"Winter",3,"Anoura_geoffroyi",NA
"48",6,"Winter",1,"Anoura_geoffroyi",NA
"62",6,"Winter",2,"Anoura_geoffroyi",NA
"76",6,"Winter",3,"Anoura_geoffroyi",NA
"49",7,"Winter",1,"Anoura_geoffroyi",NA
"63",7,"Winter",2,"Anoura_geoffroyi",NA
"77",7,"Winter",3,"Anoura_geoffroyi",NA
"50",8,"Winter",1,"Anoura_geoffroyi",NA
"64",8,"Winter",2,"Anoura_geoffroyi",NA
"78",8,"Winter",3,"Anoura_geoffroyi",NA
"51",9,"Winter",1,"Anoura_geoffroyi",NA
"65",9,"Winter",2,"Anoura_geoffroyi",NA
"79",9,"Winter",3,"Anoura_geoffroyi",NA
"52",10,"Winter",1,"Anoura_geoffroyi",NA
"66",10,"Winter",2,"Anoura_geoffroyi",NA
"80",10,"Winter",3,"Anoura_geoffroyi",NA
"53",11,"Winter",1,"Anoura_geoffroyi",NA
"67",11,"Winter",2,"Anoura_geoffroyi",NA
"81",11,"Winter",3,"Anoura_geoffroyi",NA
"54",12,"Winter",1,"Anoura_geoffroyi",NA
"68",12,"Winter",2,"Anoura_geoffroyi",NA
"82",12,"Winter",3,"Anoura_geoffroyi",NA
"55",13,"Winter",1,"Anoura_geoffroyi",NA
"69",13,"Winter",2,"Anoura_geoffroyi",NA
"83",13,"Winter",3,"Anoura_geoffroyi",NA
"56",14,"Winter",1,"Anoura_geoffroyi",NA
"70",14,"Winter",2,"Anoura_geoffroyi",NA
"84",14,"Winter",3,"Anoura_geoffroyi",NA
"1219",1,"Summer",1,"Artibeus_fimbriatus",NA
"1233",1,"Summer",2,"Artibeus_fimbriatus",NA
"1247",1,"Summer",3,"Artibeus_fimbriatus",NA
"1220",2,"Summer",1,"Artibeus_fimbriatus",NA
"1234",2,"Summer",2,"Artibeus_fimbriatus",NA
"1248",2,"Summer",3,"Artibeus_fimbriatus",NA
"1221",3,"Summer",1,"Artibeus_fimbriatus",NA
"1235",3,"Summer",2,"Artibeus_fimbriatus",NA
"1249",3,"Summer",3,"Artibeus_fimbriatus",NA
"1222",4,"Summer",1,"Artibeus_fimbriatus",NA
"1236",4,"Summer",2,"Artibeus_fimbriatus",NA
"1250",4,"Summer",3,"Artibeus_fimbriatus",NA
"1223",5,"Summer",1,"Artibeus_fimbriatus",NA
"1237",5,"Summer",2,"Artibeus_fimbriatus",NA
"1251",5,"Summer",3,"Artibeus_fimbriatus",NA
"1224",6,"Summer",1,"Artibeus_fimbriatus",NA
"1238",6,"Summer",2,"Artibeus_fimbriatus",NA
"1252",6,"Summer",3,"Artibeus_fimbriatus",NA
"1225",7,"Summer",1,"Artibeus_fimbriatus",NA
"1239",7,"Summer",2,"Artibeus_fimbriatus",NA
"1253",7,"Summer",3,"Artibeus_fimbriatus",NA
"1226",8,"Summer",1,"Artibeus_fimbriatus",NA
"1240",8,"Summer",2,"Artibeus_fimbriatus",NA
"1254",8,"Summer",3,"Artibeus_fimbriatus",NA
"1227",9,"Summer",1,"Artibeus_fimbriatus",NA
"1241",9,"Summer",2,"Artibeus_fimbriatus",NA
"1255",9,"Summer",3,"Artibeus_fimbriatus",NA
"1228",10,"Summer",1,"Artibeus_fimbriatus",NA
"1242",10,"Summer",2,"Artibeus_fimbriatus",NA
"1256",10,"Summer",3,"Artibeus_fimbriatus",NA
"1229",11,"Summer",1,"Artibeus_fimbriatus",NA
"1243",11,"Summer",2,"Artibeus_fimbriatus",NA
"1257",11,"Summer",3,"Artibeus_fimbriatus",NA
"1230",12,"Summer",1,"Artibeus_fimbriatus",NA
"1244",12,"Summer",2,"Artibeus_fimbriatus",NA
"1258",12,"Summer",3,"Artibeus_fimbriatus",NA
"1231",13,"Summer",1,"Artibeus_fimbriatus",NA
"1245",13,"Summer",2,"Artibeus_fimbriatus",NA
"1259",13,"Summer",3,"Artibeus_fimbriatus",NA
"1232",14,"Summer",1,"Artibeus_fimbriatus",NA
"1246",14,"Summer",2,"Artibeus_fimbriatus",NA
"1260",14,"Summer",3,"Artibeus_fimbriatus",NA
"85",1,"Winter",1,"Artibeus_fimbriatus",NA
"99",1,"Winter",2,"Artibeus_fimbriatus",NA
"113",1,"Winter",3,"Artibeus_fimbriatus",NA
"86",2,"Winter",1,"Artibeus_fimbriatus",NA
"100",2,"Winter",2,"Artibeus_fimbriatus",NA
"114",2,"Winter",3,"Artibeus_fimbriatus",NA
"87",3,"Winter",1,"Artibeus_fimbriatus",NA
"101",3,"Winter",2,"Artibeus_fimbriatus",NA
"115",3,"Winter",3,"Artibeus_fimbriatus",NA
"88",4,"Winter",1,"Artibeus_fimbriatus",NA
"102",4,"Winter",2,"Artibeus_fimbriatus",NA
"116",4,"Winter",3,"Artibeus_fimbriatus",NA
"89",5,"Winter",1,"Artibeus_fimbriatus",NA
"103",5,"Winter",2,"Artibeus_fimbriatus",NA
"117",5,"Winter",3,"Artibeus_fimbriatus",NA
"90",6,"Winter",1,"Artibeus_fimbriatus",NA
"104",6,"Winter",2,"Artibeus_fimbriatus",NA
"118",6,"Winter",3,"Artibeus_fimbriatus",NA
"91",7,"Winter",1,"Artibeus_fimbriatus",NA
"105",7,"Winter",2,"Artibeus_fimbriatus",NA
"119",7,"Winter",3,"Artibeus_fimbriatus",NA
"92",8,"Winter",1,"Artibeus_fimbriatus",NA
"106",8,"Winter",2,"Artibeus_fimbriatus",NA
"120",8,"Winter",3,"Artibeus_fimbriatus",NA
"93",9,"Winter",1,"Artibeus_fimbriatus",NA
"107",9,"Winter",2,"Artibeus_fimbriatus",NA
"121",9,"Winter",3,"Artibeus_fimbriatus",NA
"94",10,"Winter",1,"Artibeus_fimbriatus",NA
"108",10,"Winter",2,"Artibeus_fimbriatus",NA
"122",10,"Winter",3,"Artibeus_fimbriatus",NA
